CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-29 00:00,m^3/s,1371,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-06-30 00:00,m^3/s,1149,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-01 00:00,m^3/s,981,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-02 00:00,m^3/s,858,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-03 00:00,m^3/s,796,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-04 00:00,m^3/s,800,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-05 00:00,m^3/s,1276,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-06 00:00,m^3/s,1365,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-07 00:00,m^3/s,1400,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-08 00:00,m^3/s,1394,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-09 00:00,m^3/s,1143,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-10 00:00,m^3/s,959,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-11 00:00,m^3/s,849,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-12 00:00,m^3/s,764,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-13 00:00,m^3/s,797,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-14 00:00,m^3/s,1457,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-15 00:00,m^3/s,1579,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-16 00:00,m^3/s,1676,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-17 00:00,m^3/s,1469,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-18 00:00,m^3/s,1400,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-19 00:00,m^3/s,1314,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-20 00:00,m^3/s,1347,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-21 00:00,m^3/s,1417,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-22 00:00,m^3/s,1354,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-23 00:00,m^3/s,1154,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-24 00:00,m^3/s,985,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-25 00:00,m^3/s,1293,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-26 00:00,m^3/s,1270,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-27 00:00,m^3/s,1531,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-28 00:00,m^3/s,1654,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-29 00:00,m^3/s,1484,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-30 00:00,m^3/s,1400,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-07-31 00:00,m^3/s,1175,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-01 00:00,m^3/s,1020,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-02 00:00,m^3/s,924,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-03 00:00,m^3/s,858,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-04 00:00,m^3/s,1138,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-05 00:00,m^3/s,1244,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-06 00:00,m^3/s,1143,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-07 00:00,m^3/s,1003,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-08 00:00,m^3/s,1003,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-09 00:00,m^3/s,1062,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-10 00:00,m^3/s,1086,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-11 00:00,m^3/s,1238,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-12 00:00,m^3/s,1272,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-13 00:00,m^3/s,1262,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-14 00:00,m^3/s,1249,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-15 00:00,m^3/s,1007,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-16 00:00,m^3/s,1016,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-17 00:00,m^3/s,1185,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-18 00:00,m^3/s,1112,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-19 00:00,m^3/s,1027,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-20 00:00,m^3/s,888,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-21 00:00,m^3/s,812,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-22 00:00,m^3/s,816,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-23 00:00,m^3/s,812,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-08-24 00:00,m^3/s,845,Definitivo
